ticker,name,shariah_status,note
TAJT,Taj Textile Mills Limited,No opinion drawn,No recent financials available
USMT,Usman Textile Mills Limited,No opinion drawn,No recent financials available
ZELP,Zeal Pak Cement Factory Limited,No opinion drawn,No recent financials available
FCONM,First Constellation Modaraba,No opinion drawn,No recent Shariah certificate available
FIM,First Investec Modaraba,No opinion drawn,No recent Shariah certificate available
UCAPM,Unicap Modaraba,No opinion drawn,No recent Shariah certificate available
AAL,Agro Allianz Limited,No opinion drawn,No recent financials available
ABSON,Abson Industries Limited,No opinion drawn,No recent financials available
ANNT,Annoor Textile Mills Limited,No opinion drawn,No recent financials available
APOT,Apollo Textile Mills Limited,No opinion drawn,No recent financials available
AZMT,Azmat Textile Mills Limited,No opinion drawn,No recent financials available
DKTM,Dewan Khalid Textile Mills Limited,No opinion drawn,No recent financials available
DMTM,Dewan Mushtaq Textile Mills,No opinion drawn,No recent financials available
FAEL,Fatima Enterprises Limited,No opinion drawn,No recent financials available
FTHM,Fateh Textile Mills Limited,No opinion drawn,No recent financials available
HADC,Haydari Construction,No opinion drawn,No recent financials available
HAJT,Hajra Textile Mills Limited,No opinion drawn,No recent financials available
HIRAT,Hira Textile Mills Ltd,No opinion drawn,No recent financials available
HKKT,Hakkim Textile Mills Limited,No opinion drawn,No recent financials available
HSPI,Huffaz Seamless Pipe Ind,No opinion drawn,No recent financials available
KAKL,Kaiser Arts & Krafts Limited,No opinion drawn,No recent financials available
MFTM,Mohd. Farooq Textile Mills,No opinion drawn,No recent financials available
MOHE,Mohib Exports Limited,No opinion drawn,No recent financials available
NAFL,National Fibres Limited,No opinion drawn,No recent financials available
NINA,Nina Industries Limited,No opinion drawn,No recent financials available
NMFL,Nirala MSR Foods Limited,No opinion drawn,No recent financials available
PECO,Pakistan Engineering Co. Ltd,No opinion drawn,No recent financials available
PIAHCLB,PIA Holding Company Limited B,No opinion drawn,No recent financials available
REGAL,Regal Ceramics Limited,No opinion drawn,No recent financials available
SDOT,Sadoon Textile Industries Limited,No opinion drawn,No recent financials available
SFAT,Safa Textiles Ltd,No opinion drawn,No recent financials available
SURAJ,Suraj Ghee Industries Limited,No opinion drawn,No recent financials available
